,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
1396,1,23,13,0,0,0,1
1408,0,20,13,1,4,0,1
1418,0,15,13,1,4,0,1
1429,0,7,83,0,0,0,1
1433,1,3,41,1,0,0,1
1435,0,23,66,0,0,0,1
1437,1,13,13,1,6,0,1
1450,0,19,13,0,3,0,1
1459,0,10,13,0,4,0,1
1470,0,7,71,0,0,0,1
1475,1,8,13,0,3,0,1
1492,1,20,13,0,4,0,1
1497,0,23,13,1,0,0,1
1498,0,22,13,1,1,0,1
1514,0,7,13,0,0,0,1
1516,1,21,77,1,4,0,1
1519,1,17,13,1,4,0,1
1521,0,7,65,1,0,0,1
1522,1,2,13,1,0,0,1
1529,1,6,13,1,2,0,1
1540,0,7,72,0,0,0,1
1560,1,7,104,0,6,0,1
1571,0,7,54,0,0,0,1
1578,1,22,13,1,1,0,1
1580,1,9,21,1,6,0,1
1587,1,1,13,0,0,0,1
1591,0,7,54,1,0,0,1
1595,0,7,36,1,0,0,1
1616,1,22,90,1,3,0,1
1624,0,17,13,0,2,0,1
1632,0,11,13,0,6,0,1
1637,1,7,13,1,6,0,1
1639,1,3,13,0,5,0,1
1641,1,23,13,1,4,0,1
1664,1,6,13,1,4,0,1
1678,0,23,13,0,2,0,1
1684,0,20,13,0,2,0,1
1685,0,12,13,1,2,0,1
1689,0,17,13,0,0,0,1
1709,1,5,13,0,4,0,1
1710,1,4,13,0,3,0,1
1727,1,11,68,1,6,0,1
1728,0,20,13,0,5,0,1
1750,0,7,13,1,0,0,1
1754,1,13,94,0,5,0,1
1763,0,20,13,1,0,0,1
1766,1,7,66,1,3,0,1
1768,1,11,13,1,2,0,1
1782,1,23,13,1,0,0,1
1783,1,3,13,0,4,0,1
1788,0,12,13,0,1,0,1
1795,1,1,17,0,0,0,1
1796,0,22,60,0,3,0,1
1806,1,17,13,0,1,0,1
1815,0,17,82,0,5,0,1
1832,0,10,13,0,6,0,1
1835,1,8,42,0,6,0,1
1840,0,10,13,0,6,0,1
1841,1,7,13,0,6,0,1
1845,0,7,55,1,0,0,1
1846,0,0,26,1,0,0,1
1862,1,18,73,0,4,0,1
1867,1,0,13,0,0,0,1
1871,0,19,13,0,3,0,1
1872,1,20,5,1,0,0,1
1879,1,1,13,0,1,0,1
1880,1,21,13,0,0,0,1
1881,0,6,13,0,2,0,1
1884,1,17,71,1,1,0,1
1893,1,21,13,0,0,0,1
1894,1,1,81,0,0,0,1
1907,1,2,13,1,4,0,1
1915,1,21,13,0,2,0,1
1935,0,2,19,0,4,0,1
1943,0,7,33,1,0,0,1
1952,0,22,13,0,4,0,1
1966,0,2,12,0,0,0,1
1967,1,2,72,0,0,0,1
1972,0,2,13,1,3,0,1
1977,1,22,73,1,0,0,1
1978,0,7,13,1,0,0,1
1979,0,7,66,1,0,0,1
1988,0,10,79,0,3,0,1
1990,0,13,71,1,2,0,1
1994,1,9,13,0,3,0,1
2004,1,6,13,1,2,0,1
2018,0,2,13,0,5,0,1
2020,1,22,13,0,4,0,1
2022,1,20,68,1,4,0,1
2040,0,21,13,0,6,0,1
2046,1,14,113,1,4,0,1
2051,1,5,13,1,6,0,1
2054,0,22,13,1,2,0,1
2057,1,19,13,0,4,0,1
2068,1,11,13,0,6,0,1
2077,0,6,13,0,4,0,1
2083,0,19,13,0,3,0,1
2087,1,20,13,1,4,0,1
2092,1,5,66,0,2,0,1
2115,0,3,13,1,4,0,1
2116,0,7,13,1,0,0,1
2123,1,10,68,1,4,0,1
2125,1,2,13,1,2,0,1
2126,1,13,85,0,6,0,1
2134,1,2,13,0,3,0,1
2139,0,22,110,0,2,0,1
2145,1,10,13,0,6,0,1
2172,1,23,13,0,0,0,1
2183,1,23,13,0,1,0,1
2184,1,17,13,0,0,0,1
2187,0,4,1,1,0,0,1
2197,0,22,67,1,5,0,1
2233,1,7,39,0,6,0,1
2236,0,11,97,0,4,0,1
2238,0,20,72,1,0,0,1
2239,1,12,13,0,2,0,1
2253,1,21,68,0,1,0,1
2256,0,2,13,1,5,0,1
2263,1,8,65,0,2,0,1
2270,0,14,21,1,6,0,1
2277,0,7,13,0,0,0,1
2286,0,4,42,0,4,0,1
2287,1,4,13,0,3,0,1
2306,0,12,13,1,0,0,1
2333,0,7,13,0,0,0,1
2346,1,2,87,1,0,0,1
2347,0,7,13,0,0,0,1
2357,0,7,13,1,0,0,1
2361,0,7,13,0,0,0,1
2363,0,12,13,0,6,0,1
2364,1,12,13,0,5,0,1
2367,1,22,13,0,4,0,1
2383,1,9,75,0,5,0,1
2386,0,7,1,1,0,0,1
2387,1,22,13,0,2,0,1
2400,1,8,13,0,6,0,1
2409,0,18,13,1,0,0,1
2416,0,18,26,0,4,0,1
2417,1,2,65,0,4,0,1
2421,0,7,78,1,0,0,1
2427,1,21,21,0,3,0,1
2428,0,14,47,1,6,0,1
2440,0,7,47,1,0,0,1
2453,1,7,13,0,4,0,1
2456,1,2,73,0,0,0,1
2457,0,7,13,1,0,0,1
2465,1,0,13,1,3,0,1
2476,0,0,13,0,4,0,1
2477,1,0,13,0,4,0,1
2481,1,3,13,0,0,0,1
2485,1,8,13,1,6,0,1
2487,0,19,43,0,0,0,1
2488,1,18,13,0,2,0,1
2490,1,22,13,0,3,0,1
2502,0,7,51,0,0,0,1
2521,1,7,13,0,6,0,1
2526,1,17,13,0,0,0,1
2531,1,4,18,1,3,0,1
2537,0,22,54,1,0,0,1
2547,0,1,41,0,3,0,1
2556,0,7,13,0,0,0,1
2558,1,21,13,1,0,0,1
2563,1,22,24,0,4,0,1
2564,0,21,79,0,4,0,1
2573,1,10,70,0,6,0,1
