,experiment,hour,device_make,yes,day,browser_Chrome,browser_Chrome Mobile,browser_Chrome Mobile WebView,browser_Chrome Mobile iOS,browser_Facebook,browser_Mobile Safari,browser_Mobile Safari UI/WKWebView,browser_Samsung Internet
764,0,7,81,1,0,0,0,0,0,0,0,0,1
766,1,20,19,0,4,0,0,1,0,0,0,0,0
771,1,19,25,0,0,0,0,1,0,0,0,0,0
775,1,11,14,0,4,0,1,0,0,0,0,0,0
781,1,8,88,1,2,0,0,1,0,0,0,0,0
783,0,7,13,1,0,0,1,0,0,0,0,0,0
787,1,1,13,0,0,0,1,0,0,0,0,0,0
794,0,11,114,0,0,0,0,0,0,0,1,0,0
797,0,22,13,0,5,0,0,1,0,0,0,0,0
798,1,7,61,1,0,0,0,1,0,0,0,0,0
799,1,4,104,0,0,0,0,0,0,1,0,0,0
801,0,7,111,0,0,0,0,1,0,0,0,0,0
802,1,11,13,0,3,0,1,0,0,0,0,0,0
806,0,6,13,0,4,0,1,0,0,0,0,0,0
823,0,7,13,1,0,0,1,0,0,0,0,0,0
833,1,23,13,0,2,0,1,0,0,0,0,0,0
837,1,0,33,1,1,0,0,1,0,0,0,0,0
838,1,21,76,0,1,0,0,0,0,1,0,0,0
839,1,9,13,1,6,0,1,0,0,0,0,0,0
846,0,22,51,0,1,0,0,1,0,0,0,0,0
862,0,2,13,0,4,0,1,0,0,0,0,0,0
878,1,17,13,0,1,0,1,0,0,0,0,0,0
879,0,17,26,1,1,0,1,0,0,0,0,0,0
880,1,13,13,0,6,0,1,0,0,0,0,0,0
893,0,8,33,0,5,0,0,0,0,1,0,0,0
896,1,19,6,0,6,0,0,0,0,1,0,0,0
901,0,7,18,0,0,1,0,0,0,0,0,0,0
909,0,7,43,0,0,0,0,0,0,0,0,0,1
929,1,16,13,1,5,0,1,0,0,0,0,0,0
934,0,13,13,0,6,0,1,0,0,0,0,0,0
945,1,9,67,0,6,0,0,1,0,0,0,0,0
952,1,22,13,0,3,0,1,0,0,0,0,0,0
976,1,21,58,0,6,0,0,0,0,0,0,0,1
997,0,8,13,1,6,0,1,0,0,0,0,0,0
1005,0,7,13,1,0,0,1,0,0,0,0,0,0
1007,1,15,51,0,3,0,0,1,0,0,0,0,0
1014,1,8,13,1,2,0,1,0,0,0,0,0,0
1019,1,12,66,1,4,0,0,1,0,0,0,0,0
1038,0,7,66,1,0,0,0,0,0,1,0,0,0
1042,1,8,61,0,2,0,0,1,0,0,0,0,0
1045,1,5,13,0,4,0,1,0,0,0,0,0,0
1047,1,13,47,1,5,0,0,1,0,0,0,0,0
1054,0,18,13,1,3,0,1,0,0,0,0,0,0
1057,1,22,13,1,4,0,1,0,0,0,0,0,0
1064,1,6,68,1,2,0,0,1,0,0,0,0,0
1067,1,22,27,1,2,0,0,1,0,0,0,0,0
1070,1,8,13,0,6,0,1,0,0,0,0,0,0
1072,0,7,13,0,0,0,1,0,0,0,0,0,0
1090,1,0,13,1,0,0,1,0,0,0,0,0,0
1097,1,22,114,0,0,0,0,0,0,0,1,0,0
1111,0,7,13,0,0,0,1,0,0,0,0,0,0
1115,0,18,68,0,3,0,0,0,0,1,0,0,0
1117,0,7,64,0,2,0,0,0,0,0,0,0,1
1119,1,1,48,1,1,0,0,1,0,0,0,0,0
1133,0,17,86,1,2,0,0,0,0,0,0,0,1
1138,1,20,27,1,0,0,0,1,0,0,0,0,0
1142,0,7,73,1,0,0,0,0,0,0,0,0,1
1152,1,8,13,1,2,0,1,0,0,0,0,0,0
1161,0,7,103,0,0,0,0,0,0,1,0,0,0
1167,0,7,13,1,0,0,1,0,0,0,0,0,0
1171,0,7,13,1,0,0,0,0,0,1,0,0,0
1180,1,5,69,1,3,0,0,0,0,0,0,0,1
1186,1,21,22,0,0,0,0,1,0,0,0,0,0
1190,0,8,13,1,0,0,1,0,0,0,0,0,0
1196,1,23,13,0,4,0,0,1,0,0,0,0,0
1226,1,5,27,1,4,0,0,1,0,0,0,0,0
1231,0,7,13,0,0,0,1,0,0,0,0,0,0
1235,1,19,13,1,4,0,1,0,0,0,0,0,0
1236,1,21,13,0,3,0,1,0,0,0,0,0,0
1239,1,12,13,0,2,0,1,0,0,0,0,0,0
1252,1,20,13,1,2,0,1,0,0,0,0,0,0
1255,0,7,64,1,0,0,0,1,0,0,0,0,0
1260,1,15,13,1,4,0,1,0,0,0,0,0,0
1271,1,12,26,0,0,0,1,0,0,0,0,0,0
1272,1,10,66,0,6,0,0,1,0,0,0,0,0
1285,0,7,13,1,0,0,1,0,0,0,0,0,0
1286,0,7,13,1,0,0,1,0,0,0,0,0,0
1309,1,18,23,0,3,0,0,1,0,0,0,0,0
1312,0,21,66,0,0,0,0,0,0,1,0,0,0
1319,0,13,13,1,5,0,1,0,0,0,0,0,0
1373,1,10,62,1,6,0,0,1,0,0,0,0,0
1376,0,7,46,0,4,0,0,0,0,0,0,0,1
1378,1,12,27,0,0,0,0,1,0,0,0,0,0
1386,0,7,2,0,0,0,1,0,0,0,0,0,0
1396,1,23,13,0,0,0,1,0,0,0,0,0,0
1408,0,20,13,1,4,0,1,0,0,0,0,0,0
1418,0,15,13,1,4,0,1,0,0,0,0,0,0
1429,0,7,83,0,0,0,0,0,0,0,0,0,1
1433,1,3,41,1,0,0,0,0,0,0,0,0,1
1435,0,23,66,0,0,0,0,1,0,0,0,0,0
1437,1,13,13,1,6,0,1,0,0,0,0,0,0
1450,0,19,13,0,3,0,1,0,0,0,0,0,0
1459,0,10,13,0,4,0,1,0,0,0,0,0,0
1470,0,7,71,0,0,0,0,0,0,0,0,0,1
1475,1,8,13,0,3,0,0,1,0,0,0,0,0
1492,1,20,13,0,4,0,1,0,0,0,0,0,0
1497,0,23,13,1,0,0,1,0,0,0,0,0,0
1498,0,22,13,1,1,0,1,0,0,0,0,0,0
1514,0,7,13,0,0,0,1,0,0,0,0,0,0
1516,1,21,77,1,4,0,0,0,0,1,0,0,0
1519,1,17,13,1,4,0,1,0,0,0,0,0,0
1521,0,7,65,1,0,0,0,0,0,0,0,0,1
1522,1,2,13,1,0,0,1,0,0,0,0,0,0
1529,1,6,13,1,2,0,1,0,0,0,0,0,0
1540,0,7,72,0,0,0,0,0,0,1,0,0,0
1560,1,7,104,0,6,0,0,0,0,1,0,0,0
1571,0,7,54,0,0,0,0,0,0,1,0,0,0
1578,1,22,13,1,1,0,1,0,0,0,0,0,0
1580,1,9,21,1,6,0,0,1,0,0,0,0,0
1587,1,1,13,0,0,0,1,0,0,0,0,0,0
1591,0,7,54,1,0,0,0,0,0,1,0,0,0
1595,0,7,36,1,0,0,0,0,0,1,0,0,0
1616,1,22,90,1,3,0,0,1,0,0,0,0,0
1624,0,17,13,0,2,0,1,0,0,0,0,0,0
1632,0,11,13,0,6,0,1,0,0,0,0,0,0
1637,1,7,13,1,6,0,1,0,0,0,0,0,0
1639,1,3,13,0,5,0,1,0,0,0,0,0,0
1641,1,23,13,1,4,0,1,0,0,0,0,0,0
